strategy_code,future_id,region,time_period,difference_variable,variable_value_baseline,variable_value_pathway,difference_value,variable,value
PFLO:NDC,0,libya,0,pop_unimproved_rural,912886.6848002078,912886.6848002078,0.0,cb:wali:technical_cost:sanitation:unimp_rural,0.0
PFLO:NDC,0,libya,1,pop_unimproved_rural,911362.9869540987,911362.9869540987,0.0,cb:wali:technical_cost:sanitation:unimp_rural,0.0
PFLO:NDC,0,libya,2,pop_unimproved_rural,911288.4660710661,911288.4660710661,0.0,cb:wali:technical_cost:sanitation:unimp_rural,0.0
PFLO:NDC,0,libya,3,pop_unimproved_rural,911778.0365681354,911778.0365681354,0.0,cb:wali:technical_cost:sanitation:unimp_rural,0.0
PFLO:NDC,0,libya,4,pop_unimproved_rural,911746.712707567,911746.712707567,0.0,cb:wali:technical_cost:sanitation:unimp_rural,0.0
PFLO:NDC,0,libya,5,pop_unimproved_rural,910320.6905347408,910320.6905347408,0.0,cb:wali:technical_cost:sanitation:unimp_rural,0.0
PFLO:NDC,0,libya,6,pop_unimproved_rural,985555.7016089632,985555.7016089632,0.0,cb:wali:technical_cost:sanitation:unimp_rural,0.0
PFLO:NDC,0,libya,7,pop_unimproved_rural,982602.5240822276,982602.5240822276,0.0,cb:wali:technical_cost:sanitation:unimp_rural,0.0
PFLO:NDC,0,libya,8,pop_unimproved_rural,979649.3465554919,979649.3465554919,0.0,cb:wali:technical_cost:sanitation:unimp_rural,0.0
PFLO:NDC,0,libya,9,pop_unimproved_rural,976696.1690287562,976696.1690287562,0.0,cb:wali:technical_cost:sanitation:unimp_rural,0.0
PFLO:NDC,0,libya,10,pop_unimproved_rural,973742.9915020205,973742.9915020205,0.0,cb:wali:technical_cost:sanitation:unimp_rural,-0.0
PFLO:NDC,0,libya,11,pop_unimproved_rural,968072.540538757,968072.540538757,0.0,cb:wali:technical_cost:sanitation:unimp_rural,-0.0
PFLO:NDC,0,libya,12,pop_unimproved_rural,962402.0895754868,962402.0895754868,0.0,cb:wali:technical_cost:sanitation:unimp_rural,-0.0
PFLO:NDC,0,libya,13,pop_unimproved_rural,956731.6386122233,915134.6108464745,-41597.02776574879,cb:wali:technical_cost:sanitation:unimp_rural,270380.68047736713
PFLO:NDC,0,libya,14,pop_unimproved_rural,951061.1876489529,868360.2148099137,-82700.97283903928,cb:wali:technical_cost:sanitation:unimp_rural,537556.3234537554
PFLO:NDC,0,libya,15,pop_unimproved_rural,945390.7366856897,822078.9014658171,-123311.83521987253,cb:wali:technical_cost:sanitation:unimp_rural,801526.9289291715
PFLO:NDC,0,libya,16,pop_unimproved_rural,937883.8782429524,774773.6385485259,-163110.23969442653,cb:wali:technical_cost:sanitation:unimp_rural,1060216.5580137726
PFLO:NDC,0,libya,17,pop_unimproved_rural,930377.0198002153,728121.1459306033,-202255.873869612,cb:wali:technical_cost:sanitation:unimp_rural,1314663.180152478
