strategy_code,future_id,region,time_period,difference_variable,variable_value_baseline,variable_value_pathway,difference_value,variable,value
PFLO:NDC,0.0,libya,7.0,pop_unimproved_rural,982602.5240822276,982602.5240822276,0.0,cb:wali:technical_cost:sanitation:unimp_rural,0.0
PFLO:NDC,0.0,libya,8.0,pop_unimproved_rural,979649.3465554919,979649.3465554919,0.0,cb:wali:technical_cost:sanitation:unimp_rural,0.0
PFLO:NDC,0.0,libya,9.0,pop_unimproved_rural,976696.1690287562,976696.1690287562,0.0,cb:wali:technical_cost:sanitation:unimp_rural,0.0
PFLO:NDC,0.0,libya,10.0,pop_unimproved_rural,973742.9915020205,973742.9915020205,0.0,cb:wali:technical_cost:sanitation:unimp_rural,-0.0
PFLO:NDC,0.0,libya,11.0,pop_unimproved_rural,968072.540538757,968072.540538757,0.0,cb:wali:technical_cost:sanitation:unimp_rural,-0.0
PFLO:NDC,0.0,libya,12.0,pop_unimproved_rural,962402.0895754868,962402.0895754868,0.0,cb:wali:technical_cost:sanitation:unimp_rural,-0.0
PFLO:NDC,0.0,libya,13.0,pop_unimproved_rural,956731.6386122233,915134.6108464745,-41597.02776574879,cb:wali:technical_cost:sanitation:unimp_rural,270380.68047736713
PFLO:NDC,0.0,libya,14.0,pop_unimproved_rural,951061.1876489529,868360.2148099138,-82700.97283903917,cb:wali:technical_cost:sanitation:unimp_rural,537556.3234537547
PFLO:NDC,0.0,libya,15.0,pop_unimproved_rural,945390.7366856897,822078.9014658175,-123311.83521987218,cb:wali:technical_cost:sanitation:unimp_rural,801526.9289291692
PFLO:NDC,0.0,libya,16.0,pop_unimproved_rural,937883.8782429524,774773.6385485263,-163110.23969442607,cb:wali:technical_cost:sanitation:unimp_rural,1060216.5580137693
PFLO:NDC,0.0,libya,17.0,pop_unimproved_rural,930377.0198002153,728121.1459306037,-202255.87386961153,cb:wali:technical_cost:sanitation:unimp_rural,1314663.180152475
PFLO:NDC,0.0,libya,18.0,pop_unimproved_rural,922870.1613574713,682121.4236120433,-240748.737745428,cb:wali:technical_cost:sanitation:unimp_rural,1564866.795345282
PFLO:NDC,0.0,libya,19.0,pop_unimproved_rural,915363.302914734,636774.4715928579,-278588.83132187615,cb:wali:technical_cost:sanitation:unimp_rural,1810827.403592195
PFLO:NDC,0.0,libya,20.0,pop_unimproved_rural,907856.4444719969,592080.289873041,-315776.1545989559,cb:wali:technical_cost:sanitation:unimp_rural,2052545.0048932133
PFLO:NDC,0.0,libya,21.0,pop_unimproved_rural,898795.0991900029,547092.6690721754,-351702.4301178275,cb:wali:technical_cost:sanitation:unimp_rural,2286065.7957658786
